Infinitivo;Pasado simple;Participio pasado;Significado
arise;arose;arisen;surgir, levantarse
be;was/were;been;ser, estar
bear;bore;borne/born;soportar, llevar
beat;beat;beaten;golpear, vencer
become;became;become;volverse, llegar a ser
begin;began;begun;comenzar
bend;bent;bent;doblar, inclinar
bet;bet;bet;apostar
bind;bound;bound;atar, unir
bite;bit;bitten;morder
bleed;bled;bled;sangrar
blow;blew;blown;soplar
break;broke;broken;romper
bring;brought;brought;traer
build;built;built;construir
burst;burst;burst;estallar
buy;bought;bought;comprar
cast;cast;cast;lanzar, arrojar
catch;caught;caught;atrapar
choose;chose;chosen;elegir
cling;clung;clung;aferrarse
come;came;come;venir
cost;cost;cost;costar
creep;crept;crept;arrastrarse
cut;cut;cut;cortar
deal;dealt;dealt;tratar, negociar
dig;dug;dug;cavar
dive;dove/dived;dived;zambullirse
do;did;done;hacer
draw;drew;drawn;dibujar, atraer
dream;dreamt/dreamed;dreamt/dreamed;soñar
drink;drank;drunk;beber
drive;drove;driven;conducir
eat;ate;eaten;comer
fall;fell;fallen;caer
feed;fed;fed;alimentar
feel;felt;felt;sentir
fight;fought;fought;pelear
find;found;found;encontrar
flee;fled;fled;huir
fling;flung;flung;lanzar, arrojar
fly;flew;flown;volar
forbid;forbade;forbidden;prohibir
forget;forgot;forgotten;olvidar
forgive;forgave;forgiven;perdonar
freeze;froze;frozen;congelar
get;got;got/gotten;obtener
give;gave;given;dar
go;went;gone;ir
grind;ground;ground;moler
grow;grew;grown;crecer
hang;hung;hung;colgar
have;had;had;tener, haber
hear;heard;heard;oír
hide;hid;hidden;esconder
hit;hit;hit;golpear
hold;held;held;sostener, agarrar
hurt;hurt;hurt;herir, lastimar
keep;kept;kept;mantener, guardar
kneel;knelt/kneeled;knelt/kneeled;arrodillarse
know;knew;known;saber, conocer
lay;laid;laid;poner, colocar
lead;led;led;liderar, guiar
lean;leant/leaned;leant/leaned;inclinarse
leap;leapt/leaped;leapt/leaped;saltar
learn;learnt/learned;learnt/learned;aprender
leave;left;left;dejar, salir
lend;lent;lent;prestar
let;let;let;permitir, dejar
lie (down);lay;lain;acostarse, yacer
light;lit;lit;encender, iluminar
lose;lost;lost;perder
make;made;made;hacer, fabricar
mean;meant;meant;significar
meet;met;met;conocer, encontrarse
mow;mowed;mown/mowed;segar, cortar (césped)
overcome;overcame;overcome;superar
pay;paid;paid;pagar
put;put;put;poner, establecer
quit;quit;quit;dejar, renunciar
read;read;read;leer
rid;rid;rid;liberar, deshacerse de
ride;rode;ridden;montar (en bicicleta, caballo)
ring;rang;rung;sonar, llamar (por teléfono)
rise;rose;risen;elevarse, subir
run;ran;run;correr
saw;sawed;sawn/sawed;serrar, cortar con sierra
say;said;said;decir
see;saw;seen;ver
seek;sought;sought;buscar
sell;sold;sold;vender
send;sent;sent;enviar
set;set;set;poner, establecer
sew;sewed;sewn/sewed;coser
shake;shook;shaken;agitar, sacudir
shear;shore;shorn;esquilar
shed;shed;shed;derramar, deshacerse de
shine;shone;shone;brillar
shoot;shot;shot;disparar
show;showed;shown/showed;mostrar
shrink;shrank/shrunk;shrunk;encoger
shut;shut;shut;cerrar
sing;sang;sung;cantar
sink;sank/sunk;sunk;hundir
sit;sat;sat;sentarse
sleep;slept;slept;dormir
slide;slid;slid;deslizar
sling;slung;slung;lanzar, arrojar
slit;slit;slit;rajar, cortar
smell;smelt/smelled;smelt/smelled;oler
sow;sowed;sown/sowed;sembrar
speak;spoke;spoken;hablar
speed;sped/speeded;sped/speeded;acelerar
spell;spelt/spelled;spelt/spelled;deletrear
spend;spent;spent;gastar, pasar tiempo
spill;spilt/spilled;spilt/spilled;derramar
spin;spun;spun;girar, hilar
spit;spat;spat;escupir
split;split;split;dividir, partir
spoil;spoilt/spoiled;spoilt/spoiled;estropear, malcriar
spread;spread;spread;extender, propagar
spring;sprang/sprung;sprung;saltar, brotar
stand;stood;stood;estar de pie
steal;stole;stolen;robar
stick;stuck;stuck;pegar, adherir
sting;stung;stung;picar, arder
stink;stank/stunk;stunk;apestar
strive;strove/strived;striven/strived;esforzarse
swear;swore;sworn;jurar, maldecir
sweep;swept;swept;barrer
swell;swelled;swollen;hincharse, aumentar
swim;swam;swum;nadar
swing;swung;swung;balancearse, columpiarse
take;took;taken;tomar, coger
teach;taught;taught;enseñar
tear;tore;torn;rasgar, romper
tell;told;told;decir, contar
think;thought;thought;pensar
thrive;throve/thrived;thriven/thrived;prosperar
throw;threw;thrown;lanzar, arrojar
tread;trod;trodden/trod;pisar, caminar
undergo;underwent;undergone;someterse, sufrir
understand;understood;understood;entender
undertake;undertook;undertaken;emprender
upset;upset;upset;molestar, perturbar
wake;woke;woken;despertar
wear;wore;worn;llevar puesto, desgastar
weave;wove;woven;tejer
wed;wed/wedded;wed/wedded;casarse
weep;wept;wept;llorar
wind;wound;wound;enrollar, dar cuerda
withdraw;withdrew;withdrawn;retirarse, retirar
withhold;withheld;withheld;retener
withstand;withstood;withstood;resistir
wring;wrung;wrung;retorcer, escurrir
write;wrote;written;escribir
